genotype,plate,gompertz_mu_max,gompertz_doubling_time,gompertz_carrying_capacity,gompertz_lag_time,gompertz_r2
b3875,Plate 37 Trial 3,0.676927038,1.023961433,2.008967979,4.768616933,0.998999272
b3878,Plate 37 Trial 3,0.657888172,1.053594228,1.714515285,0.101859237,0.993478226
b3879,Plate 37 Trial 3,2.76E-10,2515486937,3.93E-11,0.989361541,0
b3881,Plate 37 Trial 3,0.748540291,0.925998491,1.715435472,0.087902989,0.988452398
b3882,Plate 37 Trial 3,0.693709153,0.999189901,1.775290287,0.230032367,0.991735665
b3888,Plate 37 Trial 3,0.623997802,1.110816701,1.684540289,0.122749114,0.988114698
b3896,Plate 37 Trial 3,0.740801385,0.93567209,1.833073924,0.203615524,0.992711859
b3900,Plate 37 Trial 3,0.691567661,1.00228397,1.757900116,0.204366378,0.991250794
b3915,Plate 37 Trial 3,0.000968908,715.3897723,0.013031968,-7.173634386,0.050646849
b3921,Plate 37 Trial 3,0.644203344,1.075975757,1.617238384,0.083354346,0.990491729
b3922,Plate 37 Trial 3,0.65994267,1.050314235,1.724116893,0.181810123,0.992535723
b3928,Plate 37 Trial 3,0.711264489,0.974528029,1.813135323,0.117356332,0.99248516
b3937,Plate 37 Trial 3,0.631725165,1.097229015,1.919450342,0.13766792,0.991513237
b3944,Plate 37 Trial 3,0.72742999,0.952871328,1.812140767,0.227476881,0.990775061
b3955,Plate 37 Trial 3,0.789170256,0.878324006,1.822878081,0.248406185,0.993895979
b3964,Plate 37 Trial 3,0.738644526,0.938404275,1.834226704,0.216867344,0.993522297
b3996,Plate 37 Trial 3,0.658322419,1.052899248,1.726272115,0.207874396,0.993407347
b3999,Plate 37 Trial 3,1.275244796,0.543540489,0.009015697,0.052209199,0.064236111
b4001,Plate 37 Trial 3,0.738817563,0.938184492,1.694604472,0.107742851,0.988330914
b4012,Plate 37 Trial 3,0.521388476,1.329425587,1.785247277,-0.025526193,0.988305624
b4022,Plate 37 Trial 3,0.701523548,0.988059748,1.833189096,0.171506904,0.991913193
b4023,Plate 37 Trial 3,0.725052155,0.955996304,1.872094931,0.22119873,0.993756029
b4026,Plate 37 Trial 3,0.707460991,0.97976735,1.879282053,0.25326002,0.994591389
b4028,Plate 37 Trial 3,0.684121515,1.013193073,1.74827009,0.112231528,0.991974742
b4029,Plate 37 Trial 3,-1.194518388,-0.580273345,-0.369170665,1.00278594,0.598073576
b4030,Plate 37 Trial 3,0.576592128,1.202144717,1.435768682,-0.002682389,0.985686388
b4038,Plate 37 Trial 3,0.710928578,0.974988489,1.660223231,0.075875002,0.98746175
b4045,Plate 37 Trial 3,0.73197212,0.946958445,1.786266549,0.141461772,0.989933747
b4047,Plate 37 Trial 3,0.662378368,1.04645202,1.798185769,0.09904903,0.991328449
b4048,Plate 37 Trial 3,0.61289443,1.130940578,1.720786184,0.114119084,0.983956361
b4056,Plate 37 Trial 3,0.729603713,0.95003242,1.7805805,0.191270258,0.990520481
b4057,Plate 37 Trial 3,0.67129268,1.032555845,1.691454369,0.112767349,0.991887786
b4061,Plate 37 Trial 3,0.695339362,0.996847322,1.575197986,0.001493073,0.986401253
b4064,Plate 37 Trial 3,0.617139941,1.123160461,1.46395216,0.030485075,0.987947588
b4065,Plate 37 Trial 3,0.678873196,1.021025996,1.647335694,0.053004181,0.990533499
b4066,Plate 37 Trial 3,0.715596852,0.968628046,1.800982205,0.161443492,0.989739474
b4067,Plate 37 Trial 3,0.721622113,0.960540383,1.813740442,0.17841052,0.991758231
b4068,Plate 37 Trial 3,0.661184695,1.048341236,1.727902939,0.11985878,0.989243634
b4078,Plate 37 Trial 3,0.690436164,1.003926528,1.788843824,0.136547306,0.993281661
b4080,Plate 37 Trial 3,0.662867499,1.045679841,1.782036609,0.155457885,0.992039628
b4082,Plate 37 Trial 3,0.5988397,1.157483681,1.558927247,0.104613976,0.99022496
b4108,Plate 37 Trial 3,0.587235001,1.180357403,1.487485948,0.107055653,0.989605695
