CommonName,bID,GenBankID,OMV.Trial1,OMV.Trial2,OMV.Trial3,OMV.Trial4,OMV.Trial5,average.log.OMV,antilog.OMV.Trial1,antilog.OMV.Trial2,antilog.OMV.Trial3,antilog.OMV.Trial4,antilog.OMV.Trial5,average.antilog.omv,stdev.antilog
ydiS,b1699,946212,-0.287328718,-0.3003558,NA,NA,NA,-0.293842259,0.516025641,0.500776799,,,,0.50840122,0.010782559
ydiT,b1700,946214,0.086390255,-0.577361374,-0.611760373,NA,NA,-0.367577164,1.22008547,0.264629725,0.244477912,,,0.576397702,0.557541012
ydiD,b1701,946213,-0.195512451,-0.432362895,NA,NA,NA,-0.313937673,0.637510804,0.369519282,,,,0.503515043,0.189498622
pps,b1702,946209,0.115965077,0.077194427,NA,NA,NA,0.096579752,1.306065859,1.194522754,,,,1.250294307,0.078872886
ydiA,b1703,946207,0.36437684,0.170085834,NA,NA,NA,0.267231337,2.314071854,1.479400748,,,,1.896736301,0.590201599
aroH,b1704,946229,0.198590257,-0.03489387,NA,NA,NA,0.081848194,1.579756886,0.922796907,,,,1.251276896,0.464540856
ydiE,b1705,946205,0.174311361,0.276857928,NA,NA,NA,0.225584645,1.49386503,1.891724672,,,,1.692794851,0.281329251
ydiU,b1706,946219,0.054848668,-0.056311143,NA,NA,NA,-0.000731237,1.134615385,0.878392981,,,,1.006504183,0.181176599
ydiV,b1707,946217,-0.506039015,-0.313638881,NA,NA,NA,-0.409838948,0.311860941,0.485692189,,,,0.398776565,0.122917254
nlpC,b1708,946220,-0.00476107,0.295188572,NA,NA,NA,0.145213751,0.989097103,1.973279354,,,,1.481188229,0.695921943
btuD,b1709,945751,0.021728546,-0.124012735,NA,NA,NA,-0.051142095,1.051304555,0.751600854,,,,0.901452704,0.211922519
btuE,b1710,945915,0.182705387,-0.052661499,NA,NA,NA,0.065021944,1.52301923,0.885805762,,,,1.204412496,0.450577965
btuC,b1711,945877,-0.077528027,0.05976986,NA,NA,NA,-0.008879084,0.83651161,1.147545357,,,,0.992028483,0.219934071
ihfA,b1712,945472,0.019206405,0.347959672,NA,NA,NA,0.183583039,1.045216856,2.228228229,,,,1.636722543,0.836515364
pheM,b1715,947212,0.248531021,0.259516835,NA,NA,NA,0.254023928,1.772274632,1.817677515,,,,1.794976073,0.032104687
rpmI,b1717,946349,0.050785874,-0.301510676,NA,NA,NA,-0.125362401,1.124050632,0.499446902,,,,0.811748767,0.441661532
arpB_1,b1720,948935,-0.223166792,0.031367414,NA,NA,NA,-0.095899689,0.598181818,1.074898394,,,,0.836540106,0.337089524
arpB_2,b1721,948935,0.028532785,-0.141419978,NA,NA,NA,-0.056443597,1.067905406,0.722071198,,,,0.894988302,0.244541714
ydiY,b1722,946218,-0.192725125,-0.038246822,NA,NA,NA,-0.115485974,0.641615541,0.915699924,,,,0.778657733,0.193806925
pfkB,b1723,946230,0.13442891,0.031189713,NA,NA,NA,0.082809312,1.362789912,1.074458666,,,,1.218624289,0.203880979
ydiZ,b1724,946232,0.419587279,0.114426431,NA,NA,NA,0.267006855,2.627769569,1.301446833,,,,1.964608201,0.937851801
yniA,b1725,946236,0.176305673,-0.188395042,NA,NA,NA,-0.006044685,1.500740742,0.648044692,,,,1.074392717,0.602947159
yniB,b1726,945140,0.107785484,0.061587744,NA,NA,NA,0.084686614,1.281697343,1.152358857,,,,1.2170281,0.091456121
yniC,b1727,945632,0.191372479,0.099748549,NA,NA,NA,0.145560514,1.553719008,1.258196721,,,,1.405957865,0.208965814
ydjM,b1728,945644,-0.433104426,-0.383621311,NA,NA,NA,-0.408362869,0.368888889,0.413407821,,,,0.391148355,0.031479639
ydjN,b1729,946238,-0.120971919,0.13274752,NA,NA,NA,0.005887801,0.756881833,1.357524011,,,,1.057202922,0.424718158
ydjO,b1730,946237,0.666617512,0.062611297,0.424986536,NA,NA,0.384738448,4.641063515,1.15507796,2.660642573,,,2.818928016,1.748374827
cedA,b1731,946235,-0.032719985,-0.277419362,NA,NA,NA,-0.155069674,0.927427597,0.527935223,,,,0.72768141,0.282483767
katE,b1732,946234,-0.547136926,-0.335030849,NA,NA,NA,-0.441083888,0.283702442,0.462348179,,,,0.37302531,0.126321612
chbG,b1733,946231,-0.014214543,0.121422163,NA,NA,NA,0.05360381,0.967799642,1.322580646,,,,1.145190144,0.250868054
chbF,b1734,946266,0.286015088,-0.07733643,NA,NA,NA,0.104339329,1.932035437,0.836880734,,,,1.384458086,0.774391317
chbR,b1735,946247,0.081712029,-0.122338163,NA,NA,NA,-0.020313067,1.207013226,0.754504505,,,,0.980758865,0.319971985
chbC,b1737,945982,-0.234851181,-0.22238983,NA,NA,NA,-0.228620506,0.58230272,0.599252935,,,,0.590777828,0.011985612
chbB,b1738,945339,0.023439147,0.201082184,NA,NA,NA,0.112260666,1.055453604,1.588847387,,,,1.322150495,0.377166361
osmE,b1739,945305,-0.263216774,-0.353282834,NA,NA,NA,-0.308249804,0.545485519,0.443319838,,,,0.494402679,0.072242046
ydjQ,b1741,948996,0.17926779,-0.018742262,NA,NA,NA,0.080262764,1.511011571,0.9577623,,,,1.234386935,0.391206311
ydjR,b1742,946245,-0.262154572,0.008966398,NA,NA,NA,-0.126594087,0.546821306,1.020860495,,,,0.783840901,0.335196325
spy,b1743,946253,-0.516430989,0.089698441,-0.265062073,NA,NA,-0.230598207,0.304487179,1.229414811,0.543172691,,,0.692358227,0.48017187
astE,b1744,946256,-0.096479272,0.622392108,0.418297963,NA,NA,0.314736933,0.800793848,4.191718487,2.619979921,,,2.537497419,1.696966411
